user_external_id,course_shortname,role_shortname,company_shortname,group_idnumber
SCH_TEACHER_001,GV-STD1-MATH-2026,editingteacher,GV_SCHOOL,GV-STD01-MATH-A
SCH_TEACHER_002,GV-STD1-ENG-2026,editingteacher,GV_SCHOOL,GV-STD01-ENG-A
SCH_TEACHER_003,GV-STD1-EVS-2026,editingteacher,GV_SCHOOL,GV-STD01-EVS-A
SCH_TEACHER_004,GV-STD2-MATH-2026,editingteacher,GV_SCHOOL,GV-STD02-MATH-A
SCH_TEACHER_005,GV-STD2-ENG-2026,editingteacher,GV_SCHOOL,GV-STD02-ENG-A
SCH_TEACHER_006,GV-STD2-EVS-2026,editingteacher,GV_SCHOOL,GV-STD02-EVS-A
SCH_TEACHER_007,GV-STD3-MATH-2026,editingteacher,GV_SCHOOL,GV-STD03-MATH-A
SCH_TEACHER_008,GV-STD3-ENG-2026,editingteacher,GV_SCHOOL,GV-STD03-ENG-A
SCH_TEACHER_009,GV-STD3-EVS-2026,editingteacher,GV_SCHOOL,GV-STD03-EVS-A
SCH_TEACHER_010,GV-STD4-MATH-2026,editingteacher,GV_SCHOOL,GV-STD04-MATH-A
SCH_TEACHER_011,GV-STD4-ENG-2026,editingteacher,GV_SCHOOL,GV-STD04-ENG-A
SCH_TEACHER_012,GV-STD4-EVS-2026,editingteacher,GV_SCHOOL,GV-STD04-EVS-A
SCH_TEACHER_001,GV-STD5-MATH-2026,editingteacher,GV_SCHOOL,GV-STD05-MATH-A
SCH_TEACHER_002,GV-STD5-ENG-2026,editingteacher,GV_SCHOOL,GV-STD05-ENG-A
SCH_TEACHER_003,GV-STD5-EVS-2026,editingteacher,GV_SCHOOL,GV-STD05-EVS-A
SCH_TEACHER_004,GV-STD6-MATH-2026,editingteacher,GV_SCHOOL,GV-STD06-MATH-A
SCH_TEACHER_005,GV-STD6-ENG-2026,editingteacher,GV_SCHOOL,GV-STD06-ENG-A
SCH_TEACHER_006,GV-STD6-SCI-2026,editingteacher,GV_SCHOOL,GV-STD06-SCI-A
SCH_TEACHER_007,GV-STD7-MATH-2026,editingteacher,GV_SCHOOL,GV-STD07-MATH-A
SCH_TEACHER_008,GV-STD7-ENG-2026,editingteacher,GV_SCHOOL,GV-STD07-ENG-A
SCH_TEACHER_009,GV-STD7-SCI-2026,editingteacher,GV_SCHOOL,GV-STD07-SCI-A
SCH_TEACHER_010,GV-STD8-MATH-2026,editingteacher,GV_SCHOOL,GV-STD08-MATH-A
SCH_TEACHER_011,GV-STD8-ENG-2026,editingteacher,GV_SCHOOL,GV-STD08-ENG-A
SCH_TEACHER_012,GV-STD8-SCI-2026,editingteacher,GV_SCHOOL,GV-STD08-SCI-A
SCH_TEACHER_001,GV-STD9-MATH-2026,editingteacher,GV_SCHOOL,GV-STD09-MATH-A
SCH_TEACHER_002,GV-STD9-ENG-2026,editingteacher,GV_SCHOOL,GV-STD09-ENG-A
SCH_TEACHER_003,GV-STD9-SCI-2026,editingteacher,GV_SCHOOL,GV-STD09-SCI-A
SCH_TEACHER_004,GV-STD10-MATH-2026,editingteacher,GV_SCHOOL,GV-STD10-MATH-A
SCH_TEACHER_005,GV-STD10-ENG-2026,editingteacher,GV_SCHOOL,GV-STD10-ENG-A
SCH_TEACHER_006,GV-STD10-SCI-2026,editingteacher,GV_SCHOOL,GV-STD10-SCI-A
SCH_TEACHER_007,GV-STD11-MATH-2026,editingteacher,GV_SCHOOL,GV-STD11-MATH-A
SCH_TEACHER_008,GV-STD11-ENG-2026,editingteacher,GV_SCHOOL,GV-STD11-ENG-A
SCH_TEACHER_009,GV-STD11-PHY-2026,editingteacher,GV_SCHOOL,GV-STD11-PHY-A
SCH_TEACHER_010,GV-STD12-MATH-2026,editingteacher,GV_SCHOOL,GV-STD12-MATH-A
SCH_TEACHER_011,GV-STD12-ENG-2026,editingteacher,GV_SCHOOL,GV-STD12-ENG-A
SCH_TEACHER_012,GV-STD12-PHY-2026,editingteacher,GV_SCHOOL,GV-STD12-PHY-A
SCH_TEACHER_001,GV-ORIENTATION-2026,editingteacher,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_001,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_001,GV-STD1-MATH-2026,student,GV_SCHOOL,GV-STD01-MATH-A
SCH_STUDENT_001,GV-STD1-ENG-2026,student,GV_SCHOOL,GV-STD01-ENG-A
SCH_STUDENT_001,GV-STD1-EVS-2026,student,GV_SCHOOL,GV-STD01-EVS-A
SCH_STUDENT_002,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_002,GV-STD2-MATH-2026,student,GV_SCHOOL,GV-STD02-MATH-A
SCH_STUDENT_002,GV-STD2-ENG-2026,student,GV_SCHOOL,GV-STD02-ENG-A
SCH_STUDENT_002,GV-STD2-EVS-2026,student,GV_SCHOOL,GV-STD02-EVS-A
SCH_STUDENT_003,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_003,GV-STD3-MATH-2026,student,GV_SCHOOL,GV-STD03-MATH-A
SCH_STUDENT_003,GV-STD3-ENG-2026,student,GV_SCHOOL,GV-STD03-ENG-A
SCH_STUDENT_003,GV-STD3-EVS-2026,student,GV_SCHOOL,GV-STD03-EVS-A
SCH_STUDENT_004,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_004,GV-STD4-MATH-2026,student,GV_SCHOOL,GV-STD04-MATH-A
SCH_STUDENT_004,GV-STD4-ENG-2026,student,GV_SCHOOL,GV-STD04-ENG-A
SCH_STUDENT_004,GV-STD4-EVS-2026,student,GV_SCHOOL,GV-STD04-EVS-A
SCH_STUDENT_005,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_005,GV-STD5-MATH-2026,student,GV_SCHOOL,GV-STD05-MATH-A
SCH_STUDENT_005,GV-STD5-ENG-2026,student,GV_SCHOOL,GV-STD05-ENG-A
SCH_STUDENT_005,GV-STD5-EVS-2026,student,GV_SCHOOL,GV-STD05-EVS-A
SCH_STUDENT_006,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_006,GV-STD6-MATH-2026,student,GV_SCHOOL,GV-STD06-MATH-A
SCH_STUDENT_006,GV-STD6-ENG-2026,student,GV_SCHOOL,GV-STD06-ENG-A
SCH_STUDENT_006,GV-STD6-SCI-2026,student,GV_SCHOOL,GV-STD06-SCI-A
SCH_STUDENT_007,GV-ORIENTATION-2026,student,GV_SCHOOL,GV-ORIENTATION-A
SCH_STUDENT_007,GV-STD7-MATH-2026,student,GV_SCHOOL,GV-STD07-MATH-A
