course_shortname,group_idnumber,name,description
GV-STD1-MATH-2026,GV-STD01-MATH-A,Standard 1 MATH Section A,Sanitized class group.
GV-STD1-ENG-2026,GV-STD01-ENG-A,Standard 1 ENG Section A,Sanitized class group.
GV-STD1-EVS-2026,GV-STD01-EVS-A,Standard 1 EVS Section A,Sanitized class group.
GV-STD2-MATH-2026,GV-STD02-MATH-A,Standard 2 MATH Section A,Sanitized class group.
GV-STD2-ENG-2026,GV-STD02-ENG-A,Standard 2 ENG Section A,Sanitized class group.
GV-STD2-EVS-2026,GV-STD02-EVS-A,Standard 2 EVS Section A,Sanitized class group.
GV-STD3-MATH-2026,GV-STD03-MATH-A,Standard 3 MATH Section A,Sanitized class group.
GV-STD3-ENG-2026,GV-STD03-ENG-A,Standard 3 ENG Section A,Sanitized class group.
GV-STD3-EVS-2026,GV-STD03-EVS-A,Standard 3 EVS Section A,Sanitized class group.
GV-STD4-MATH-2026,GV-STD04-MATH-A,Standard 4 MATH Section A,Sanitized class group.
GV-STD4-ENG-2026,GV-STD04-ENG-A,Standard 4 ENG Section A,Sanitized class group.
GV-STD4-EVS-2026,GV-STD04-EVS-A,Standard 4 EVS Section A,Sanitized class group.
GV-STD5-MATH-2026,GV-STD05-MATH-A,Standard 5 MATH Section A,Sanitized class group.
GV-STD5-ENG-2026,GV-STD05-ENG-A,Standard 5 ENG Section A,Sanitized class group.
GV-STD5-EVS-2026,GV-STD05-EVS-A,Standard 5 EVS Section A,Sanitized class group.
GV-STD6-MATH-2026,GV-STD06-MATH-A,Standard 6 MATH Section A,Sanitized class group.
GV-STD6-ENG-2026,GV-STD06-ENG-A,Standard 6 ENG Section A,Sanitized class group.
GV-STD6-SCI-2026,GV-STD06-SCI-A,Standard 6 SCI Section A,Sanitized class group.
GV-STD7-MATH-2026,GV-STD07-MATH-A,Standard 7 MATH Section A,Sanitized class group.
GV-STD7-ENG-2026,GV-STD07-ENG-A,Standard 7 ENG Section A,Sanitized class group.
GV-STD7-SCI-2026,GV-STD07-SCI-A,Standard 7 SCI Section A,Sanitized class group.
GV-STD8-MATH-2026,GV-STD08-MATH-A,Standard 8 MATH Section A,Sanitized class group.
GV-STD8-ENG-2026,GV-STD08-ENG-A,Standard 8 ENG Section A,Sanitized class group.
GV-STD8-SCI-2026,GV-STD08-SCI-A,Standard 8 SCI Section A,Sanitized class group.
GV-STD9-MATH-2026,GV-STD09-MATH-A,Standard 9 MATH Section A,Sanitized class group.
GV-STD9-ENG-2026,GV-STD09-ENG-A,Standard 9 ENG Section A,Sanitized class group.
GV-STD9-SCI-2026,GV-STD09-SCI-A,Standard 9 SCI Section A,Sanitized class group.
GV-STD10-MATH-2026,GV-STD10-MATH-A,Standard 10 MATH Section A,Sanitized class group.
GV-STD10-ENG-2026,GV-STD10-ENG-A,Standard 10 ENG Section A,Sanitized class group.
GV-STD10-SCI-2026,GV-STD10-SCI-A,Standard 10 SCI Section A,Sanitized class group.
GV-STD11-MATH-2026,GV-STD11-MATH-A,Standard 11 MATH Section A,Sanitized class group.
GV-STD11-ENG-2026,GV-STD11-ENG-A,Standard 11 ENG Section A,Sanitized class group.
GV-STD11-PHY-2026,GV-STD11-PHY-A,Standard 11 PHY Section A,Sanitized class group.
GV-STD12-MATH-2026,GV-STD12-MATH-A,Standard 12 MATH Section A,Sanitized class group.
GV-STD12-ENG-2026,GV-STD12-ENG-A,Standard 12 ENG Section A,Sanitized class group.
GV-STD12-PHY-2026,GV-STD12-PHY-A,Standard 12 PHY Section A,Sanitized class group.
GV-ORIENTATION-2026,GV-ORIENTATION-A,School Orientation Group,Sanitized all-learner orientation group.
