parent_user_external_id,learner_user_external_id
SCH_PARENT_001,SCH_STUDENT_001
SCH_PARENT_002,SCH_STUDENT_002
SCH_PARENT_003,SCH_STUDENT_003
SCH_PARENT_004,SCH_STUDENT_004
SCH_PARENT_005,SCH_STUDENT_005
SCH_PARENT_006,SCH_STUDENT_006
SCH_PARENT_007,SCH_STUDENT_007
SCH_PARENT_008,SCH_STUDENT_008
SCH_PARENT_009,SCH_STUDENT_009
SCH_PARENT_010,SCH_STUDENT_010
SCH_PARENT_011,SCH_STUDENT_011
SCH_PARENT_012,SCH_STUDENT_012
SCH_PARENT_013,SCH_STUDENT_013
SCH_PARENT_014,SCH_STUDENT_014
SCH_PARENT_015,SCH_STUDENT_015
SCH_PARENT_016,SCH_STUDENT_016
SCH_PARENT_017,SCH_STUDENT_017
SCH_PARENT_018,SCH_STUDENT_018
SCH_PARENT_019,SCH_STUDENT_019
SCH_PARENT_020,SCH_STUDENT_020
SCH_PARENT_021,SCH_STUDENT_021
SCH_PARENT_022,SCH_STUDENT_022
SCH_PARENT_023,SCH_STUDENT_023
SCH_PARENT_024,SCH_STUDENT_024
SCH_PARENT_025,SCH_STUDENT_025
SCH_PARENT_026,SCH_STUDENT_026
SCH_PARENT_027,SCH_STUDENT_027
SCH_PARENT_028,SCH_STUDENT_028
SCH_PARENT_029,SCH_STUDENT_029
SCH_PARENT_030,SCH_STUDENT_030
SCH_PARENT_031,SCH_STUDENT_031
SCH_PARENT_032,SCH_STUDENT_032
SCH_PARENT_033,SCH_STUDENT_033
SCH_PARENT_034,SCH_STUDENT_034
SCH_PARENT_035,SCH_STUDENT_035
SCH_PARENT_036,SCH_STUDENT_036
SCH_PARENT_037,SCH_STUDENT_037
SCH_PARENT_038,SCH_STUDENT_038
SCH_PARENT_039,SCH_STUDENT_039
SCH_PARENT_040,SCH_STUDENT_040
SCH_PARENT_041,SCH_STUDENT_041
SCH_PARENT_042,SCH_STUDENT_042
SCH_PARENT_043,SCH_STUDENT_043
SCH_PARENT_044,SCH_STUDENT_044
SCH_PARENT_045,SCH_STUDENT_045
SCH_PARENT_046,SCH_STUDENT_046
SCH_PARENT_047,SCH_STUDENT_047
SCH_PARENT_048,SCH_STUDENT_048
SCH_PARENT_049,SCH_STUDENT_049
SCH_PARENT_050,SCH_STUDENT_050
SCH_PARENT_051,SCH_STUDENT_051
SCH_PARENT_052,SCH_STUDENT_052
SCH_PARENT_053,SCH_STUDENT_053
SCH_PARENT_054,SCH_STUDENT_054
SCH_PARENT_055,SCH_STUDENT_055
SCH_PARENT_056,SCH_STUDENT_056
SCH_PARENT_057,SCH_STUDENT_057
SCH_PARENT_058,SCH_STUDENT_058
SCH_PARENT_059,SCH_STUDENT_059
SCH_PARENT_060,SCH_STUDENT_060
SCH_PARENT_061,SCH_STUDENT_061
SCH_PARENT_062,SCH_STUDENT_062
SCH_PARENT_063,SCH_STUDENT_063
SCH_PARENT_064,SCH_STUDENT_064
SCH_PARENT_065,SCH_STUDENT_065
SCH_PARENT_066,SCH_STUDENT_066
SCH_PARENT_067,SCH_STUDENT_067
SCH_PARENT_068,SCH_STUDENT_068
SCH_PARENT_069,SCH_STUDENT_069
SCH_PARENT_070,SCH_STUDENT_070
SCH_PARENT_071,SCH_STUDENT_071
SCH_PARENT_072,SCH_STUDENT_072
SCH_PARENT_073,SCH_STUDENT_073
SCH_PARENT_074,SCH_STUDENT_074
SCH_PARENT_075,SCH_STUDENT_075
SCH_PARENT_076,SCH_STUDENT_076
SCH_PARENT_077,SCH_STUDENT_077
SCH_PARENT_078,SCH_STUDENT_078
SCH_PARENT_079,SCH_STUDENT_079
SCH_PARENT_080,SCH_STUDENT_080
SCH_PARENT_081,SCH_STUDENT_081
SCH_PARENT_082,SCH_STUDENT_082
SCH_PARENT_083,SCH_STUDENT_083
SCH_PARENT_084,SCH_STUDENT_084
SCH_PARENT_085,SCH_STUDENT_085
SCH_PARENT_086,SCH_STUDENT_086
SCH_PARENT_087,SCH_STUDENT_087
SCH_PARENT_088,SCH_STUDENT_088
SCH_PARENT_089,SCH_STUDENT_089
SCH_PARENT_090,SCH_STUDENT_090
SCH_PARENT_091,SCH_STUDENT_091
SCH_PARENT_092,SCH_STUDENT_092
SCH_PARENT_093,SCH_STUDENT_093
SCH_PARENT_094,SCH_STUDENT_094
SCH_PARENT_095,SCH_STUDENT_095
SCH_PARENT_096,SCH_STUDENT_096
SCH_PARENT_097,SCH_STUDENT_097
SCH_PARENT_098,SCH_STUDENT_098
SCH_PARENT_099,SCH_STUDENT_099
SCH_PARENT_100,SCH_STUDENT_100
