user_external_id,course_shortname,role_shortname,company_shortname,group_idnumber
UNI_FAC_001,NBU-PROG101-2026,editingteacher,NBU_ENGINEERING,NBU-PROG101-A
UNI_FAC_002,NBU-DS101-2026,editingteacher,NBU_ENGINEERING,NBU-DS101-A
UNI_FAC_003,NBU-DB101-2026,editingteacher,NBU_ENGINEERING,NBU-DB101-A
UNI_FAC_004,NBU-WEB101-2026,editingteacher,NBU_ENGINEERING,NBU-WEB101-A
UNI_FAC_005,NBU-EC101-2026,editingteacher,NBU_ENGINEERING,NBU-EC101-A
UNI_FAC_006,NBU-EC102-2026,editingteacher,NBU_ENGINEERING,NBU-EC102-A
UNI_FAC_007,NBU-EC103-2026,editingteacher,NBU_ENGINEERING,NBU-EC103-A
UNI_FAC_008,NBU-EC104-2026,editingteacher,NBU_ENGINEERING,NBU-EC104-A
UNI_FAC_009,NBU-BUS101-2026,editingteacher,NBU_ENGINEERING,NBU-BUS101-A
UNI_FAC_010,NBU-ACC101-2026,editingteacher,NBU_ENGINEERING,NBU-ACC101-A
UNI_FAC_011,NBU-MKT101-2026,editingteacher,NBU_ENGINEERING,NBU-MKT101-A
UNI_FAC_012,NBU-ECO101-2026,editingteacher,NBU_ENGINEERING,NBU-ECO101-A
UNI_FAC_013,NBU-MBA501-2026,editingteacher,NBU_ENGINEERING,NBU-MBA501-A
UNI_FAC_014,NBU-MBA502-2026,editingteacher,NBU_ENGINEERING,NBU-MBA502-A
UNI_FAC_015,NBU-MBA503-2026,editingteacher,NBU_ENGINEERING,NBU-MBA503-A
UNI_FAC_016,NBU-MBA504-2026,editingteacher,NBU_ENGINEERING,NBU-MBA504-A
UNI_FAC_001,NBU-STAT101-2026,editingteacher,NBU_ENGINEERING,NBU-STAT101-A
UNI_FAC_002,NBU-ML101-2026,editingteacher,NBU_ENGINEERING,NBU-ML101-A
UNI_FAC_003,NBU-DV101-2026,editingteacher,NBU_ENGINEERING,NBU-DV101-A
UNI_FAC_004,NBU-PY101-2026,editingteacher,NBU_ENGINEERING,NBU-PY101-A
UNI_FAC_005,NBU-ADS501-2026,editingteacher,NBU_ENGINEERING,NBU-ADS501-A
UNI_FAC_006,NBU-AI501-2026,editingteacher,NBU_ENGINEERING,NBU-AI501-A
UNI_FAC_007,NBU-BD501-2026,editingteacher,NBU_ENGINEERING,NBU-BD501-A
UNI_FAC_008,NBU-RES501-2026,editingteacher,NBU_ENGINEERING,NBU-RES501-A
UNI_FAC_009,NBU-LIT101-2026,editingteacher,NBU_ENGINEERING,NBU-LIT101-A
UNI_FAC_010,NBU-COM101-2026,editingteacher,NBU_ENGINEERING,NBU-COM101-A
UNI_FAC_011,NBU-LIN101-2026,editingteacher,NBU_ENGINEERING,NBU-LIN101-A
UNI_FAC_012,NBU-CW101-2026,editingteacher,NBU_ENGINEERING,NBU-CW101-A
UNI_FAC_013,NBU-LIT501-2026,editingteacher,NBU_ENGINEERING,NBU-LIT501-A
UNI_FAC_014,NBU-CUL501-2026,editingteacher,NBU_ENGINEERING,NBU-CUL501-A
UNI_FAC_015,NBU-RES502-2026,editingteacher,NBU_ENGINEERING,NBU-RES502-A
UNI_FAC_016,NBU-DIG501-2026,editingteacher,NBU_ENGINEERING,NBU-DIG501-A
