course_shortname,group_idnumber,name,description
NBU-PROG101-2026,NBU-PROG101-A,Programming Fundamentals Section A,Sanitized class group.
NBU-DS101-2026,NBU-DS101-A,Data Structures Section A,Sanitized class group.
NBU-DB101-2026,NBU-DB101-A,Database Systems Section A,Sanitized class group.
NBU-WEB101-2026,NBU-WEB101-A,Web Engineering Section A,Sanitized class group.
NBU-EC101-2026,NBU-EC101-A,Circuit Fundamentals Section A,Sanitized class group.
NBU-EC102-2026,NBU-EC102-A,Digital Systems Section A,Sanitized class group.
NBU-EC103-2026,NBU-EC103-A,Signals and Systems Section A,Sanitized class group.
NBU-EC104-2026,NBU-EC104-A,Embedded Systems Section A,Sanitized class group.
NBU-BUS101-2026,NBU-BUS101-A,Management Foundations Section A,Sanitized class group.
NBU-ACC101-2026,NBU-ACC101-A,Accounting Section A,Sanitized class group.
NBU-MKT101-2026,NBU-MKT101-A,Marketing Section A,Sanitized class group.
NBU-ECO101-2026,NBU-ECO101-A,Economics Section A,Sanitized class group.
NBU-MBA501-2026,NBU-MBA501-A,Strategic Management Section A,Sanitized class group.
NBU-MBA502-2026,NBU-MBA502-A,Corporate Finance Section A,Sanitized class group.
NBU-MBA503-2026,NBU-MBA503-A,Operations Management Section A,Sanitized class group.
NBU-MBA504-2026,NBU-MBA504-A,Leadership Section A,Sanitized class group.
NBU-STAT101-2026,NBU-STAT101-A,Statistics Section A,Sanitized class group.
NBU-ML101-2026,NBU-ML101-A,Machine Learning Section A,Sanitized class group.
NBU-DV101-2026,NBU-DV101-A,Data Visualization Section A,Sanitized class group.
NBU-PY101-2026,NBU-PY101-A,Python for Data Science Section A,Sanitized class group.
NBU-ADS501-2026,NBU-ADS501-A,Advanced Data Science Section A,Sanitized class group.
NBU-AI501-2026,NBU-AI501-A,Applied Artificial Intelligence Section A,Sanitized class group.
NBU-BD501-2026,NBU-BD501-A,Big Data Systems Section A,Sanitized class group.
NBU-RES501-2026,NBU-RES501-A,Research Methods Section A,Sanitized class group.
NBU-LIT101-2026,NBU-LIT101-A,World Literature Section A,Sanitized class group.
NBU-COM101-2026,NBU-COM101-A,Academic Communication Section A,Sanitized class group.
NBU-LIN101-2026,NBU-LIN101-A,Linguistics Section A,Sanitized class group.
NBU-CW101-2026,NBU-CW101-A,Creative Writing Section A,Sanitized class group.
NBU-LIT501-2026,NBU-LIT501-A,Literary Theory Section A,Sanitized class group.
NBU-CUL501-2026,NBU-CUL501-A,Cultural Studies Section A,Sanitized class group.
NBU-RES502-2026,NBU-RES502-A,Humanities Research Section A,Sanitized class group.
NBU-DIG501-2026,NBU-DIG501-A,Digital Humanities Section A,Sanitized class group.
NBU-ORIENTATION-2026,NBU-ORIENTATION-A,University Orientation Group,Sanitized all-learner orientation group.
