category_idnumber,name,parent_idnumber,company_shortname,category_type
NBU_AY_2026,Academic Year 2026-27,,NBU_ENGINEERING,academic_year
NBU_ENG,Faculty of Engineering,NBU_AY_2026,NBU_ENGINEERING,faculty
NBU_BUS,Faculty of Business,NBU_AY_2026,NBU_ENGINEERING,faculty
NBU_SCI,Faculty of Science,NBU_AY_2026,NBU_ENGINEERING,faculty
NBU_ARTS,Faculty of Arts,NBU_AY_2026,NBU_ENGINEERING,faculty
NBU_BTECH_CSE,B.Tech Computer Science,NBU_ENG,NBU_ENGINEERING,programme
NBU_BTECH_CSE_SEM1,Semester 1,NBU_BTECH_CSE,NBU_ENGINEERING,semester
NBU_PROG101,Programming Fundamentals,NBU_BTECH_CSE_SEM1,NBU_ENGINEERING,course
NBU_DS101,Data Structures,NBU_BTECH_CSE_SEM1,NBU_ENGINEERING,course
NBU_DB101,Database Systems,NBU_BTECH_CSE_SEM1,NBU_ENGINEERING,course
NBU_WEB101,Web Engineering,NBU_BTECH_CSE_SEM1,NBU_ENGINEERING,course
NBU_BTECH_ECE,B.Tech Electronics,NBU_ENG,NBU_ENGINEERING,programme
NBU_BTECH_ECE_SEM1,Semester 1,NBU_BTECH_ECE,NBU_ENGINEERING,semester
NBU_EC101,Circuit Fundamentals,NBU_BTECH_ECE_SEM1,NBU_ENGINEERING,course
NBU_EC102,Digital Systems,NBU_BTECH_ECE_SEM1,NBU_ENGINEERING,course
NBU_EC103,Signals and Systems,NBU_BTECH_ECE_SEM1,NBU_ENGINEERING,course
NBU_EC104,Embedded Systems,NBU_BTECH_ECE_SEM1,NBU_ENGINEERING,course
NBU_BBA,Bachelor of Business Administration,NBU_BUS,NBU_ENGINEERING,programme
NBU_BBA_SEM1,Semester 1,NBU_BBA,NBU_ENGINEERING,semester
NBU_BUS101,Management Foundations,NBU_BBA_SEM1,NBU_ENGINEERING,course
NBU_ACC101,Accounting,NBU_BBA_SEM1,NBU_ENGINEERING,course
NBU_MKT101,Marketing,NBU_BBA_SEM1,NBU_ENGINEERING,course
NBU_ECO101,Economics,NBU_BBA_SEM1,NBU_ENGINEERING,course
NBU_MBA,Master of Business Administration,NBU_BUS,NBU_ENGINEERING,programme
NBU_MBA_SEM1,Semester 1,NBU_MBA,NBU_ENGINEERING,semester
NBU_MBA501,Strategic Management,NBU_MBA_SEM1,NBU_ENGINEERING,course
NBU_MBA502,Corporate Finance,NBU_MBA_SEM1,NBU_ENGINEERING,course
NBU_MBA503,Operations Management,NBU_MBA_SEM1,NBU_ENGINEERING,course
NBU_MBA504,Leadership,NBU_MBA_SEM1,NBU_ENGINEERING,course
NBU_BSC_DS,B.Sc Data Science,NBU_SCI,NBU_ENGINEERING,programme
NBU_BSC_DS_SEM1,Semester 1,NBU_BSC_DS,NBU_ENGINEERING,semester
NBU_STAT101,Statistics,NBU_BSC_DS_SEM1,NBU_ENGINEERING,course
NBU_ML101,Machine Learning,NBU_BSC_DS_SEM1,NBU_ENGINEERING,course
NBU_DV101,Data Visualization,NBU_BSC_DS_SEM1,NBU_ENGINEERING,course
NBU_PY101,Python for Data Science,NBU_BSC_DS_SEM1,NBU_ENGINEERING,course
NBU_MSC_DS,M.Sc Data Science,NBU_SCI,NBU_ENGINEERING,programme
NBU_MSC_DS_SEM1,Semester 1,NBU_MSC_DS,NBU_ENGINEERING,semester
NBU_ADS501,Advanced Data Science,NBU_MSC_DS_SEM1,NBU_ENGINEERING,course
NBU_AI501,Applied Artificial Intelligence,NBU_MSC_DS_SEM1,NBU_ENGINEERING,course
NBU_BD501,Big Data Systems,NBU_MSC_DS_SEM1,NBU_ENGINEERING,course
NBU_RES501,Research Methods,NBU_MSC_DS_SEM1,NBU_ENGINEERING,course
NBU_BA_ENG,B.A. English,NBU_ARTS,NBU_ENGINEERING,programme
NBU_BA_ENG_SEM1,Semester 1,NBU_BA_ENG,NBU_ENGINEERING,semester
NBU_LIT101,World Literature,NBU_BA_ENG_SEM1,NBU_ENGINEERING,course
NBU_COM101,Academic Communication,NBU_BA_ENG_SEM1,NBU_ENGINEERING,course
NBU_LIN101,Linguistics,NBU_BA_ENG_SEM1,NBU_ENGINEERING,course
NBU_CW101,Creative Writing,NBU_BA_ENG_SEM1,NBU_ENGINEERING,course
NBU_MA_ENG,M.A. English,NBU_ARTS,NBU_ENGINEERING,programme
NBU_MA_ENG_SEM1,Semester 1,NBU_MA_ENG,NBU_ENGINEERING,semester
NBU_LIT501,Literary Theory,NBU_MA_ENG_SEM1,NBU_ENGINEERING,course
NBU_CUL501,Cultural Studies,NBU_MA_ENG_SEM1,NBU_ENGINEERING,course
NBU_RES502,Humanities Research,NBU_MA_ENG_SEM1,NBU_ENGINEERING,course
NBU_DIG501,Digital Humanities,NBU_MA_ENG_SEM1,NBU_ENGINEERING,course
NBU_ORIENTATION,University Orientation,NBU_AY_2026,NBU_ENGINEERING,course
