parent_user_external_id,learner_user_external_id
UNI_GUARDIAN_001,UNI_STU_001
UNI_GUARDIAN_002,UNI_STU_002
UNI_GUARDIAN_003,UNI_STU_003
UNI_GUARDIAN_004,UNI_STU_004
UNI_GUARDIAN_005,UNI_STU_005
UNI_GUARDIAN_006,UNI_STU_006
UNI_GUARDIAN_007,UNI_STU_007
UNI_GUARDIAN_008,UNI_STU_008
UNI_GUARDIAN_009,UNI_STU_009
UNI_GUARDIAN_010,UNI_STU_010
UNI_GUARDIAN_011,UNI_STU_011
UNI_GUARDIAN_012,UNI_STU_012
UNI_GUARDIAN_013,UNI_STU_013
UNI_GUARDIAN_014,UNI_STU_014
UNI_GUARDIAN_015,UNI_STU_015
UNI_GUARDIAN_016,UNI_STU_016
UNI_GUARDIAN_017,UNI_STU_017
UNI_GUARDIAN_018,UNI_STU_018
UNI_GUARDIAN_019,UNI_STU_019
UNI_GUARDIAN_020,UNI_STU_020
UNI_GUARDIAN_021,UNI_STU_021
UNI_GUARDIAN_022,UNI_STU_022
UNI_GUARDIAN_023,UNI_STU_023
UNI_GUARDIAN_024,UNI_STU_024
UNI_GUARDIAN_025,UNI_STU_025
UNI_GUARDIAN_026,UNI_STU_026
UNI_GUARDIAN_027,UNI_STU_027
UNI_GUARDIAN_028,UNI_STU_028
UNI_GUARDIAN_029,UNI_STU_029
UNI_GUARDIAN_030,UNI_STU_030
UNI_GUARDIAN_031,UNI_STU_031
UNI_GUARDIAN_032,UNI_STU_032
UNI_GUARDIAN_033,UNI_STU_033
UNI_GUARDIAN_034,UNI_STU_034
UNI_GUARDIAN_035,UNI_STU_035
UNI_GUARDIAN_036,UNI_STU_036
UNI_GUARDIAN_037,UNI_STU_037
UNI_GUARDIAN_038,UNI_STU_038
UNI_GUARDIAN_039,UNI_STU_039
UNI_GUARDIAN_040,UNI_STU_040
UNI_GUARDIAN_041,UNI_STU_041
UNI_GUARDIAN_042,UNI_STU_042
UNI_GUARDIAN_043,UNI_STU_043
UNI_GUARDIAN_044,UNI_STU_044
UNI_GUARDIAN_045,UNI_STU_045
UNI_GUARDIAN_046,UNI_STU_046
UNI_GUARDIAN_047,UNI_STU_047
UNI_GUARDIAN_048,UNI_STU_048
UNI_GUARDIAN_049,UNI_STU_049
UNI_GUARDIAN_050,UNI_STU_050
UNI_GUARDIAN_001,UNI_STU_051
UNI_GUARDIAN_002,UNI_STU_052
UNI_GUARDIAN_003,UNI_STU_053
UNI_GUARDIAN_004,UNI_STU_054
UNI_GUARDIAN_005,UNI_STU_055
UNI_GUARDIAN_006,UNI_STU_056
UNI_GUARDIAN_007,UNI_STU_057
UNI_GUARDIAN_008,UNI_STU_058
UNI_GUARDIAN_009,UNI_STU_059
UNI_GUARDIAN_010,UNI_STU_060
UNI_GUARDIAN_011,UNI_STU_061
UNI_GUARDIAN_012,UNI_STU_062
UNI_GUARDIAN_013,UNI_STU_063
UNI_GUARDIAN_014,UNI_STU_064
UNI_GUARDIAN_015,UNI_STU_065
UNI_GUARDIAN_016,UNI_STU_066
UNI_GUARDIAN_017,UNI_STU_067
UNI_GUARDIAN_018,UNI_STU_068
UNI_GUARDIAN_019,UNI_STU_069
UNI_GUARDIAN_020,UNI_STU_070
UNI_GUARDIAN_021,UNI_STU_071
UNI_GUARDIAN_022,UNI_STU_072
UNI_GUARDIAN_023,UNI_STU_073
UNI_GUARDIAN_024,UNI_STU_074
UNI_GUARDIAN_025,UNI_STU_075
UNI_GUARDIAN_026,UNI_STU_076
UNI_GUARDIAN_027,UNI_STU_077
UNI_GUARDIAN_028,UNI_STU_078
UNI_GUARDIAN_029,UNI_STU_079
UNI_GUARDIAN_030,UNI_STU_080
UNI_GUARDIAN_031,UNI_STU_081
UNI_GUARDIAN_032,UNI_STU_082
UNI_GUARDIAN_033,UNI_STU_083
UNI_GUARDIAN_034,UNI_STU_084
UNI_GUARDIAN_035,UNI_STU_085
UNI_GUARDIAN_036,UNI_STU_086
UNI_GUARDIAN_037,UNI_STU_087
UNI_GUARDIAN_038,UNI_STU_088
UNI_GUARDIAN_039,UNI_STU_089
UNI_GUARDIAN_040,UNI_STU_090
UNI_GUARDIAN_041,UNI_STU_091
UNI_GUARDIAN_042,UNI_STU_092
UNI_GUARDIAN_043,UNI_STU_093
UNI_GUARDIAN_044,UNI_STU_094
UNI_GUARDIAN_045,UNI_STU_095
UNI_GUARDIAN_046,UNI_STU_096
UNI_GUARDIAN_047,UNI_STU_097
UNI_GUARDIAN_048,UNI_STU_098
UNI_GUARDIAN_049,UNI_STU_099
UNI_GUARDIAN_050,UNI_STU_100
