"Record Type","Setup Sequence","Organization Type","Organization Shortname","Organization Sort Order","Organization Enabled","User Types (name|shortname|sort)","Profile Forms (name|shortname|user type)","Category","Category Shortname","Category Sort Order","Category Collapsed","Field","Existing / New","Field Shortname","Field Description","Field Type","Core Field Mapping","Field Library Required","Form Required Override","Readonly Override","Visible Override","Uniqueness Scope","Visible","Read Only","Sensitive","Field Enabled","Default Value","Options JSON","Validation JSON","Field Sort Order","Applies To User Types","Applies To Profile Forms","Configuration Screen","Display / Mapping Rules","Ownership / Security Notes","Company Mapping Example","Source Reference"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","School Student Profile|school_student_profile|Student; School Teacher Profile|school_teacher_profile|Teacher; School Parent Profile|school_parent_profile|Parent; School Principal Profile|school_principal_profile|Principal","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","ABC International School → school; default form: None; resolve by assigned user type","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","University Student Profile|university_student_profile|Student; University Faculty Profile|university_faculty_profile|Faculty; University Researcher Profile|university_researcher_profile|Researcher; University Staff Profile|university_staff_profile|Staff; University Alumni Profile|university_alumni_profile|Alumni","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","Nova State University → university; default form: None; resolve by assigned user type","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Training Institute","training_institute","30","Yes","Learner|learner|10; Trainer|trainer|20; Coordinator|coordinator|30; Assessor|assessor|40","Training Institute Learner Profile|training_institute_learner_profile|Learner; Training Institute Trainer Profile|training_institute_trainer_profile|Trainer; Training Institute Coordinator Profile|training_institute_coordinator_profile|Coordinator; Training Institute Assessor Profile|training_institute_assessor_profile|Assessor","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","SkillBridge Academy → training_institute; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Consulting Firm","consulting_firm","40","Yes","Consultant|consultant|10; Project Manager|project_manager|20; Partner|partner|30; Operations Staff|operations_staff|40","Consulting Firm Consultant Profile|consulting_firm_consultant_profile|Consultant; Consulting Firm Project Manager Profile|consulting_firm_project_manager_profile|Project Manager; Consulting Firm Partner Profile|consulting_firm_partner_profile|Partner; Consulting Firm Operations Staff Profile|consulting_firm_operations_staff_profile|Operations Staff","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","Insight Advisory LLP → consulting_firm; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Corporate Organization","corporate","50","Yes","Employee|employee|10; Instructor|instructor|20; Manager|manager|30; Contractor|contractor|40","Corporate Organization Employee Profile|corporate_employee_profile|Employee; Corporate Organization Instructor Profile|corporate_instructor_profile|Instructor; Corporate Organization Manager Profile|corporate_manager_profile|Manager; Corporate Organization Contractor Profile|corporate_contractor_profile|Contractor","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","NovaTech Industries → corporate; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Hospital / Healthcare","healthcare","60","Yes","Clinical Staff|clinical_staff|10; Nursing Staff|nursing_staff|20; Allied Health Professional|allied_health|30; Administrative Staff|administrative_staff|40; Trainee|trainee|50","Hospital Healthcare Clinical Staff Profile|healthcare_clinical_staff_profile|Clinical Staff; Hospital Healthcare Nursing Staff Profile|healthcare_nursing_staff_profile|Nursing Staff; Hospital Healthcare Allied Health Professional Profile|healthcare_allied_health_profile|Allied Health Professional; Hospital Healthcare Administrative Staff Profile|healthcare_administrative_staff_profile|Administrative Staff; Hospital Healthcare Trainee Profile|healthcare_trainee_profile|Trainee","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","CityCare Hospital → healthcare; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Government Organization","government","70","Yes","Officer|officer|10; Employee|employee|20; Contract Staff|contract_staff|30; Trainer|trainer|40","Government Organization Officer Profile|government_officer_profile|Officer; Government Organization Employee Profile|government_employee_profile|Employee; Government Organization Contract Staff Profile|government_contract_staff_profile|Contract Staff; Government Organization Trainer Profile|government_trainer_profile|Trainer","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","State Training Directorate → government; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","NGO / Foundation","ngo_foundation","80","Yes","Staff|staff|10; Volunteer|volunteer|20; Field Worker|field_worker|30; Program Manager|program_manager|40; Partner|partner|50","NGO Foundation Staff Profile|ngo_foundation_staff_profile|Staff; NGO Foundation Volunteer Profile|ngo_foundation_volunteer_profile|Volunteer; NGO Foundation Field Worker Profile|ngo_foundation_field_worker_profile|Field Worker; NGO Foundation Program Manager Profile|ngo_foundation_program_manager_profile|Program Manager; NGO Foundation Partner Profile|ngo_foundation_partner_profile|Partner","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","Community Impact Foundation → ngo_foundation; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","College","college","90","Yes","Student|student|10; Faculty|faculty|20; Non-Teaching Staff|non_teaching_staff|30; Principal|principal|40; Alumni|alumni|50","College Student Profile|college_student_profile|Student; College Faculty Profile|college_faculty_profile|Faculty; College Non-Teaching Staff Profile|college_non_teaching_staff_profile|Non-Teaching Staff; College Principal Profile|college_principal_profile|Principal; College Alumni Profile|college_alumni_profile|Alumni","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","Central Arts College → college; default form: None","Requested organization structure"
"Organization Setup","1 Organization Type → 2 User Types → 4 Profile Forms → 7 Company Mapping","Vocational Institute","vocational_institute","100","Yes","Trainee|trainee|10; Instructor|instructor|20; Assessor|assessor|30; Placement Officer|placement_officer|40; Administrator|administrator|50","Vocational Institute Trainee Profile|vocational_institute_trainee_profile|Trainee; Vocational Institute Instructor Profile|vocational_institute_instructor_profile|Instructor; Vocational Institute Assessor Profile|vocational_institute_assessor_profile|Assessor; Vocational Institute Placement Officer Profile|vocational_institute_placement_officer_profile|Placement Officer; Vocational Institute Administrator Profile|vocational_institute_administrator_profile|Administrator","","","","","","","","","","","","","","","","","","","","","","","","","","Organization Types, User Types, Profile Forms, Company Mapping","Create the organization type once; add its user types; create one enabled form per user type; map each actual IOMAD company; assign exact company members to a user type.","User Type is profile classification only. Company and membership remain IOMAD-owned. Leave default form empty when multiple user types exist; resolver selects the user-type form.","FutureSkills Vocational Centre → vocational_institute; default form: None","Requested organization structure"
